variable,type,overall,dev,train,test,easy,medium,hard
hr_n_pts_short,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
hr_slope_long,field,99.53,99.76,99.53,99.54,99.53,99.54,99.51
hr_slope_short,field,98.75,97.16,98.76,98.63,98.57,98.82,98.75
hr_trend,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
hr_trend_code,field,99.53,99.76,99.53,99.54,99.53,99.54,99.51
lab_alb,field,80.47,0.00,80.94,79.83,79.02,79.56,83.38
lab_alb_age,field,80.47,0.00,80.94,79.83,79.02,79.56,83.38
lab_alt,field,80.48,0.00,80.95,79.83,79.08,79.56,83.38
lab_alt_age,field,80.48,0.00,80.95,79.83,79.08,79.56,83.38
lab_ammo,field,1.87,0.00,1.88,1.83,0.30,1.22,4.36
lab_ammo_age,field,1.87,0.00,1.88,1.83,0.30,1.22,4.36
lab_aptt,field,76.14,0.00,76.48,77.12,74.34,76.35,77.10
lab_aptt_age,field,76.14,0.00,76.48,77.12,74.34,76.35,77.10
lab_ast,field,80.48,0.00,80.95,79.83,79.08,79.56,83.38
lab_ast_age,field,80.48,0.00,80.95,79.83,79.08,79.56,83.38
lab_be,field,0.88,0.00,0.86,1.35,0.70,1.05,0.69
lab_be_age,field,0.88,0.00,0.86,1.35,0.70,1.05,0.69
lab_bun,field,80.32,0.00,80.80,79.46,78.60,79.47,83.31
lab_bun_age,field,80.32,0.00,80.80,79.46,78.60,79.47,83.31
lab_ccr,field,5.82,0.00,5.66,8.75,0.84,4.43,12.42
lab_ccr_age,field,5.82,0.00,5.66,8.75,0.84,4.43,12.42
lab_cl,field,85.04,0.00,85.44,85.91,82.45,85.29,86.56
lab_cl_age,field,85.04,0.00,85.44,85.91,82.45,85.29,86.56
lab_cr,field,80.32,0.00,80.80,79.46,78.60,79.47,83.31
lab_cr_age,field,80.32,0.00,80.80,79.46,78.60,79.47,83.31
lab_crp,field,62.24,0.00,62.49,63.57,64.58,62.92,59.09
lab_crp_age,field,62.24,0.00,62.49,63.57,64.58,62.92,59.09
lab_esr,field,9.07,0.00,8.87,12.80,4.03,7.80,15.45
lab_esr_age,field,9.07,0.00,8.87,12.80,4.03,7.80,15.45
lab_fib,field,72.27,0.00,72.54,73.98,72.58,71.62,73.30
lab_fib_age,field,72.27,0.00,72.54,73.98,72.58,71.62,73.30
lab_gfr,field,80.14,0.00,80.61,79.46,78.51,79.29,83.08
lab_gfr_age,field,80.14,0.00,80.61,79.46,78.51,79.29,83.08
lab_gluc,field,74.55,0.00,74.90,75.27,74.53,73.69,76.25
lab_gluc_age,field,74.55,0.00,74.90,75.27,74.53,73.69,76.25
lab_hb,field,79.21,0.00,79.68,78.47,77.35,78.62,81.82
lab_hb_age,field,79.21,0.00,79.68,78.47,77.35,78.62,81.82
lab_hco3,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_hco3_age,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_hct,field,79.28,0.00,79.75,78.47,77.35,78.74,81.82
lab_hct_age,field,79.28,0.00,79.75,78.47,77.35,78.74,81.82
lab_ica,field,16.08,47.28,15.90,16.35,9.79,14.15,24.75
lab_ica_age,field,16.08,47.28,15.90,16.35,9.79,14.15,24.75
lab_k,field,85.09,0.00,85.49,85.91,82.45,85.38,86.56
lab_k_age,field,85.09,0.00,85.49,85.91,82.45,85.38,86.56
lab_lac,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_lac_age,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_na,field,85.09,0.00,85.49,85.91,82.45,85.38,86.56
lab_na_age,field,85.09,0.00,85.49,85.91,82.45,85.38,86.56
lab_p,field,45.62,20.09,46.16,39.48,42.39,44.64,50.04
lab_p_age,field,45.62,20.09,46.16,39.48,42.39,44.64,50.04
lab_pco2,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_pco2_age,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_ph,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_ph_age,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_plt,field,79.07,0.00,79.53,78.47,77.03,78.62,81.54
lab_plt_age,field,79.07,0.00,79.53,78.47,77.03,78.62,81.54
lab_po2,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_po2_age,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_pt_pct,field,76.08,0.00,76.42,77.12,74.39,76.31,76.94
lab_pt_pct_age,field,76.08,0.00,76.42,77.12,74.39,76.31,76.94
lab_ptinr,field,76.08,0.00,76.42,77.12,74.39,76.31,76.94
lab_ptinr_age,field,76.08,0.00,76.42,77.12,74.39,76.31,76.94
lab_ptsec,field,76.08,0.00,76.42,77.12,74.39,76.31,76.94
lab_ptsec_age,field,76.08,0.00,76.42,77.12,74.39,76.31,76.94
lab_sao2,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_sao2_age,field,3.82,0.00,3.77,5.02,3.27,3.91,4.08
lab_tbil,field,80.47,0.00,80.94,79.83,79.02,79.56,83.38
lab_tbil_age,field,80.47,0.00,80.94,79.83,79.02,79.56,83.38
lab_tprot,field,80.47,0.00,80.94,79.83,79.02,79.56,83.38
lab_tprot_age,field,80.47,0.00,80.94,79.83,79.02,79.56,83.38
lab_wbc,field,79.21,0.00,79.68,78.47,77.35,78.62,81.82
lab_wbc_age,field,79.21,0.00,79.68,78.47,77.35,78.62,81.82
mac,field,71.71,10.64,72.21,69.03,66.43,73.87,71.47
map_below_55_sec,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
